URL,news_title,news_content,impact_type,news_content_en
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"Journées de 13 heures, conflits à gérer, salaires jugés insuffisants... Les salariés des transports en commun en Île-de-France craignent une dégradation de leurs conditions de travail, déjà difficiles, avec l'ouverture à la concurrence. Celle-ci se déroule progressivement, sous le signe d'une réduction des coûts. La qualité du service, déjà fortement critiquée alors que c'est un élément clé de la décarbonation, risque également d'en pâtir. Le décalage des échéances est de plus en plus envisagé.",Risk,"13-hour workdays, conflicts to manage, salaries deemed insufficient... Public transportation employees in Île-de-France fear a deterioration of their already difficult working conditions with the opening to competition. This process is happening gradually, with a focus on cost reduction. The quality of service, already heavily criticized despite being a key element of decarbonization, is also at risk. The postponement of deadlines is increasingly being considered."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"L'ouverture à la concurrence des transports en commun franciliens suscite des craintes sur une dégradation des conditions de travail et de la qualité du service. Un collectif de 250 élus, dont la maire de Paris Anne Hidalgo, le président du conseil départemental de Seine-Saint-Denis Stéphane Troussel, et la député La France Insoumise Mathilde Panot n'ont pas mâché leurs mots dans une tribune publiée lundi 2 janvier dans Le Monde.",Risk,"The opening up of competition in public transport in the Paris region is causing concerns about a deterioration in working conditions and service quality. A collective of 250 elected officials, including the Mayor of Paris Anne Hidalgo, the President of the Seine-Saint-Denis department Stéphane Troussel, and the La France Insoumise deputy Mathilde Panot did not mince their words in an article published on Monday, January 2nd in Le Monde."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""Les opérateurs en compétition contractent les coûts au maximum"" 
 Certains bus de la Grande Couronne ont déjà été confiés à la concurrence. En 2025, ce sera le tour de l'ensemble des bus gérés par la RATP. Puis progressivement jusqu'en 2039, le monopole de la RATP et de la SNCF en Île-de-France devra prendre fin. C'est un choix d'Île-de-France Mobilités pour réduire les coûts et avoir à disposition plus de moyens de pression pour que les opérateurs de transport améliorent leurs résultats. Île-de-France Mobilités reste responsable du financement.",Opportunity,"""Competing operators minimize costs""
Some buses in the Greater Paris region have already been put out to competition. In 2025, it will be the turn of all buses managed by RATP. Then gradually until 2039, the monopoly of RATP and SNCF in Île-de-France will have to come to an end. This is a choice made by Île-de-France Mobilités to reduce costs and have more leverage to push transport operators to improve their results. Île-de-France Mobilités remains responsible for financing."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"Toutefois, les salariés s'inquiètent. ""Les opérateurs en compétition contractent les coûts au maximum dont le premier poste de dépenses dans ce type de service : la masse salariale qui représente environ 70 % du prix de production"" affirme la tribune dans Le Monde. Les conséquences se font déjà sentir là où les effectifs ont été réduits. ""Augmentations des rotations, des amplitudes horaires, réduction voire disparition des temps de pause, baisse des salaires à temps de travail équivalent, défaut de formation, mise en danger de personnels et d'usagers"" énumère la tribune.",Risk,"However, employees are worried. ""Competing operators are cutting costs to the maximum, with the first expense item in this type of service being the payroll, which represents about 70% of production costs,"" the article in Le Monde states. The consequences are already being felt where staff numbers have been reduced. ""Increased turnover, longer working hours, reduced or eliminated break times, lower salaries for equivalent working hours, lack of training, and putting staff and users at risk,"" the article lists."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""La profession s'est tendue""
Les conditions de travail, déjà peu attractives comme en témoigne les difficultés de recrutement, se dégradent de plus en plus. ""La profession s'est tendue, les chauffeurs de bus gèrent aussi des problématiques de sécurité, ils ont dû faire respecter les mesures sanitaires sans revalorisation salariale par ailleurs"" illustre la consultante spécialisée dans les transports. ""Il faut rendre attractifs ces métiers-là, les moyens humains sont indispensables au fonctionnement du réseau"" assure-t-elle.",Risk,"""The profession has become tense""
Working conditions, already unattractive as evidenced by recruitment difficulties, are deteriorating more and more. ""The profession has become tense, bus drivers also deal with security issues, they had to enforce sanitary measures without any salary increase"" illustrates the transport specialist consultant. ""These jobs need to be made attractive, human resources are essential for the functioning of the network,"" she insists."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""Il y a une nouvelle culture à mettre en place, avec plus d'attentes de productivité, mais il faut aussi arriver à des compromis pour préserver les écosystèmes locaux. Si l'objectif est seulement de réduire le coût, on va aboutir à de la casse sociale"" poursuit Anouk Exertier. L'expérience du Royaume-Uni, dont l'ouverture à la concurrence des chemins de fer a été chaotique à cause d'une liberté trop grande laissée aux nouveaux opérateurs de transport, sert d'avertissement.",Risk,"""There is a new culture to establish, with higher productivity expectations, but compromises must also be reached to preserve local ecosystems. If the goal is only to reduce costs, we will end up with social damage,"" adds Anouk Exertier. The experience of the United Kingdom, where the opening up of the railways to competition was chaotic due to too much freedom given to new transport operators, serves as a warning."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/bonne-nouvelle-la-sncf-veut-des-trains-zero-dechets-zero-emission-pour-2035-147414.html,https://docs.google.com/spreadsheets/d/1XIOd8VYPI2lTR1qikTRV2OD1MCuYz6yTC--pdXwkBfE/edit#gid=870124104,"Elle admet toutefois que ""sur le recyclage des déchets plastiques, la SNCF a encore beaucoup de travail, avec les déchets des voyageurs, mais aussi avec les déchets plastique des commerçants en gare qui représentent de gros volumes"". La SNCF réfléchit à plusieurs moyens de les réduire : ""des expérimentations devraient commencer dans certaines gares d'ici l'année prochaine"", dit Sophie Chambon à l'AFP.",Risk,"However, she admits that ""when it comes to recycling plastic waste, SNCF still has a lot of work to do, both with the waste generated by passengers and the large volumes of plastic waste from the shops in the stations."" SNCF is considering several ways to reduce them: ""experiments should start in some stations next year,"" says Sophie Chambon to AFP."
https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/edf-mise-8-milliards-d-euros-pour-devenir-un-geant-du-stockage-de-l-electricite-145638.html,EDF mise 8 milliards d’euros pour devenir un géant du stockage de l’électricité,Cette somme doit permettre à l'énergéticien de déployer 10 gigawatts (GW) de capacités de stockage supplémentaires d'ici 18 ans. L'électricien ne part pas de zéro. Il exploite déjà 5 GW de stations de transfert d’énergie par pompage (STEP) en France. Elles permettent de stocker l'énergie grâce à des bassins de retenue d'eau en altitude.,Opportunity,This amount should allow the energy company to deploy an additional 10 gigawatts (GW) of storage capacity within 18 years. The electricity company is not starting from scratch. It already operates 5 GW of pumped hydro storage (PHS) stations in France. These stations allow energy to be stored using elevated water reservoirs.
https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/le-chiffre-transition-energetique-la-demande-de-metaux-pourrait-bondir-de-1-000-dans-un-scenario-2-c-144793.html,[LE CHIFFRE] Transition énergétique : la demande de métaux pourrait bondir de 1 000 % dans un scénario 2°C,"Du côté des industriels, plutôt que de recourir à de nouvelles ressources, on préfère miser sur le recyclage des batteries. Renault se targue ainsi de pouvoir recycler 70 % du poids total de la batterie de son modèle Zoé, voiture électrique la plus vendue en Europe en 2016. Et Tesla affirme que 100 % du nickel utilisé dans ses batteries est réutilisable.",Opportunity,"On the industrial side, rather than resorting to new resources, the preference is to focus on battery recycling. Renault boasts being able to recycle 70% of the total weight of the battery in its Zoé model, the best-selling electric car in Europe in 2016. And Tesla claims that 100% of the nickel used in its batteries is reusable."
https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/l-inde-laboratoire-du-systeme-d-ecologique-143826.html,"L’Inde, laboratoire du système D écologique","""Je suis peut-être illettrée"", sourit Chandramma, une solide sexagénaire qui supervise bénévolement les seed banks de 70 villages, ""mais je suis prête à démontrer à n’importe quel scientifique qu’avec de la fumure naturelle et des semences qui ne coûtent rien, je produis une nourriture plus saine qu’avec des semences modernes qui coûtent cher. Et que nous, nous enrichissons les sols au lieu de les détruire.""",Opportunity,"""I may be illiterate,"" smiled Chandramma, a strong sixty-year-old woman who volunteers to oversee seed banks in 70 villages, ""but I am ready to prove to any scientist that with natural fertilizers and cost-free seeds, I produce healthier food than with expensive modern seeds. And that we enrich the soil instead of destroying it."""
