URL,news_title,news_content,impact_type,news_content_en
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"Journées de 13 heures, conflits à gérer, salaires jugés insuffisants... Les salariés des transports en commun en Île-de-France craignent une dégradation de leurs conditions de travail, déjà difficiles, avec l'ouverture à la concurrence. Celle-ci se déroule progressivement, sous le signe d'une réduction des coûts. La qualité du service, déjà fortement critiquée alors que c'est un élément clé de la décarbonation, risque également d'en pâtir. Le décalage des échéances est de plus en plus envisagé.",Risk,"13-hour days, conflict to manage, wages considered insufficient... The workers of the common carriers in France are blaming the opening of competition for the degrading conditions of their work, which are already difficult, and this is happening gradually, under the sign of cost reduction. The quality of service, which has already been heavily criticised, while it is a key element of decarbonisation, is also at risk of deteriorating, and the need for deadlines is increasingly being considered."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"L'ouverture à la concurrence des transports en commun franciliens suscite des craintes sur une dégradation des conditions de travail et de la qualité du service. Un collectif de 250 élus, dont la maire de Paris Anne Hidalgo, le président du conseil départemental de Seine-Saint-Denis Stéphane Troussel, et la député La France Insoumise Mathilde Panot n'ont pas mâché leurs mots dans une tribune publiée lundi 2 janvier dans Le Monde.",Risk,"Opening up the French public transport market to competition has sparked fears of a decline in working conditions and quality of service. A group of 250 elected officials, including the mayor of Paris Anne Hidalgo, the president of the Seine-Saint-Denis departmental council Stéphane Troussel, and the MP for the Independent France Mathilde Panot, did not make their voices heard in a report published on Monday 2 January in the Daily Mail."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""Les opérateurs en compétition contractent les coûts au maximum"" 
 Certains bus de la Grande Couronne ont déjà été confiés à la concurrence. En 2025, ce sera le tour de l'ensemble des bus gérés par la RATP. Puis progressivement jusqu'en 2039, le monopole de la RATP et de la SNCF en Île-de-France devra prendre fin. C'est un choix d'Île-de-France Mobilités pour réduire les coûts et avoir à disposition plus de moyens de pression pour que les opérateurs de transport améliorent leurs résultats. Île-de-France Mobilités reste responsable du financement.",Opportunity,"""Competitive operators contract costs to the maximum"" Some buses of the Grand Couronne have already been entrusted to competition. In 2025, this will be the tour of all buses operated by the RATP. Then, gradually until 2039, the monopoly of the RATP and SNCF in France will end. This is a choice by the French Mobilisations to reduce costs and to have more pressure on operators to improve their performance. The French Mobilisations remains responsible for funding."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"Toutefois, les salariés s'inquiètent. ""Les opérateurs en compétition contractent les coûts au maximum dont le premier poste de dépenses dans ce type de service : la masse salariale qui représente environ 70 % du prix de production"" affirme la tribune dans Le Monde. Les conséquences se font déjà sentir là où les effectifs ont été réduits. ""Augmentations des rotations, des amplitudes horaires, réduction voire disparition des temps de pause, baisse des salaires à temps de travail équivalent, défaut de formation, mise en danger de personnels et d'usagers"" énumère la tribune.",Risk,"However, the employees are concerned. ""The operators in competition contract costs to the maximum, with the top post of expenditures in this type of service: the payroll which represents around 70% of the production price,"" the newspaper in Le Monde quotes the newspaper as saying. The consequences are already felt where the workers have been reduced. ""Accumulations of rotations, of overtime, reduction or disappearance of the time off, pay cuts to equivalent working hours, lack of training, the loss of personnel and users,"" the newspaper quotes the newspaper as saying."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""La profession s'est tendue""
Les conditions de travail, déjà peu attractives comme en témoigne les difficultés de recrutement, se dégradent de plus en plus. ""La profession s'est tendue, les chauffeurs de bus gèrent aussi des problématiques de sécurité, ils ont dû faire respecter les mesures sanitaires sans revalorisation salariale par ailleurs"" illustre la consultante spécialisée dans les transports. ""Il faut rendre attractifs ces métiers-là, les moyens humains sont indispensables au fonctionnement du réseau"" assure-t-elle.",Risk,"""The profession has been growing"" Conditions of work, already less attractive as evidenced by the difficulty in recruiting, are becoming increasingly degrading. ""The profession has been growing, bus drivers also face safety issues, they have had to comply with health measures without earning a salary elsewhere"" illustrates the transport consultant's view. ""It is necessary to attract these jobs, human resources are essential to the operation of the network"" she assures."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""Il y a une nouvelle culture à mettre en place, avec plus d'attentes de productivité, mais il faut aussi arriver à des compromis pour préserver les écosystèmes locaux. Si l'objectif est seulement de réduire le coût, on va aboutir à de la casse sociale"" poursuit Anouk Exertier. L'expérience du Royaume-Uni, dont l'ouverture à la concurrence des chemins de fer a été chaotique à cause d'une liberté trop grande laissée aux nouveaux opérateurs de transport, sert d'avertissement.",Risk,"""There is a new culture to be established, with more expectations of productivity, but we must also find compromises to preserve local ecosystems. If the objective is only to reduce costs, we will end up in social collapse,"" says Anouk Exertier. The experience of the United Kingdom, where the opening of the railway to competition was chaotic due to the too great freedom left to new operators of transport, is a cautionary tale."
https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/bonne-nouvelle-la-sncf-veut-des-trains-zero-dechets-zero-emission-pour-2035-147414.html,https://docs.google.com/spreadsheets/d/1XIOd8VYPI2lTR1qikTRV2OD1MCuYz6yTC--pdXwkBfE/edit#gid=870124104,"Elle admet toutefois que ""sur le recyclage des déchets plastiques, la SNCF a encore beaucoup de travail, avec les déchets des voyageurs, mais aussi avec les déchets plastique des commerçants en gare qui représentent de gros volumes"". La SNCF réfléchit à plusieurs moyens de les réduire : ""des expérimentations devraient commencer dans certaines gares d'ici l'année prochaine"", dit Sophie Chambon à l'AFP.",Risk,"However, she notes that ""the SNCF still has a lot to do on recycling plastic waste, with the waste of travellers, but also with the plastic waste of train stations, which represents a large volume."" The SNCF is considering several ways to reduce it: ""experiments should start in some stations by the end of next year,"" she tells the AFP."
https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/edf-mise-8-milliards-d-euros-pour-devenir-un-geant-du-stockage-de-l-electricite-145638.html,EDF mise 8 milliards d’euros pour devenir un géant du stockage de l’électricité,Cette somme doit permettre à l'énergéticien de déployer 10 gigawatts (GW) de capacités de stockage supplémentaires d'ici 18 ans. L'électricien ne part pas de zéro. Il exploite déjà 5 GW de stations de transfert d’énergie par pompage (STEP) en France. Elles permettent de stocker l'énergie grâce à des bassins de retenue d'eau en altitude.,Opportunity,"This level must enable the electricity industry to deploy 10 gigawatts (GW) of additional storage capacity by 18 years. The electricity industry is not out of the woods yet, as it already uses 5 GW of power transfer stations (STEP) in France, which store energy through high-altitude water reservoirs."
https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/le-chiffre-transition-energetique-la-demande-de-metaux-pourrait-bondir-de-1-000-dans-un-scenario-2-c-144793.html,[LE CHIFFRE] Transition énergétique : la demande de métaux pourrait bondir de 1 000 % dans un scénario 2°C,"Du côté des industriels, plutôt que de recourir à de nouvelles ressources, on préfère miser sur le recyclage des batteries. Renault se targue ainsi de pouvoir recycler 70 % du poids total de la batterie de son modèle Zoé, voiture électrique la plus vendue en Europe en 2016. Et Tesla affirme que 100 % du nickel utilisé dans ses batteries est réutilisable.",Opportunity,"On the part of the industrial sector, rather than reusing resources, the focus is on recycling batteries. Renault is therefore able to recycle 70% of the total weight of its Zoé battery, the most sold electric car in Europe in 2016, and Tesla claims that 100% of the nickel used in its batteries is recyclable."
https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/l-inde-laboratoire-du-systeme-d-ecologique-143826.html,"L’Inde, laboratoire du système D écologique","""Je suis peut-être illettrée"", sourit Chandramma, une solide sexagénaire qui supervise bénévolement les seed banks de 70 villages, ""mais je suis prête à démontrer à n’importe quel scientifique qu’avec de la fumure naturelle et des semences qui ne coûtent rien, je produis une nourriture plus saine qu’avec des semences modernes qui coûtent cher. Et que nous, nous enrichissons les sols au lieu de les détruire.""",Opportunity,"""I am perhaps a bit naive,"" says Chandramma, a strong sexagenarian who volunteers to oversee seed banks in 70 villages, ""but I am willing to prove to any scientist that with natural smoke and seeds that cost nothing, I produce food that is healthier than with modern seeds that are expensive, and that we enrich the soils rather than destroy them."""
