news_content,impact_type
"13-hour days, conflicts to manage, wages deemed insufficient... Public transport employees in the Paris region fear that their already difficult working conditions will deteriorate as the company opens up to competition. Competition is gradually being introduced, under the banner of cost-cutting. Service quality, already heavily criticized as a key factor in decarbonization, is also likely to suffer. More and more consideration is being given to postponing deadlines.",Risk
"The opening up of public transport in the Paris region to competition has raised fears of a deterioration in working conditions and service quality. A group of 250 elected representatives, including Paris mayor Anne Hidalgo, Seine-Saint-Denis departmental council president Stéphane Troussel, and La France Insoumise deputy Mathilde Panot, did not mince their words in an article published in Le Monde on Monday January 2.",Risk
"""Competitive operators cut costs as far as possible"".
 Some buses in the Greater Paris area have already been entrusted to the competition. In 2025, it will be the turn of all RATP-run buses. Then, progressively until 2039, the monopoly of RATP and SNCF in Île-de-France will come to an end. Île-de-France Mobilités has decided to do this in order to reduce costs and increase the pressure on transport operators to improve their results. Île-de-France Mobilités remains responsible for financing.",Opportunity
"However, employees are worried. ""Competing operators are cutting costs as far as possible, including the biggest item of expenditure in this type of service: the wage bill, which represents around 70% of the production price,"" states the article in Le Monde. The consequences are already being felt where staff numbers have been reduced. ""Increased rotations, longer working hours, shorter or even non-existent breaks, lower wages for equivalent working hours, lack of training, endangerment of staff and users"", it adds.",Risk
"""The profession has become tense"".
Working conditions, already unattractive as evidenced by recruitment difficulties, are increasingly deteriorating. ""Bus drivers also have to deal with safety issues, and have had to enforce sanitary measures without any pay increases,"" explains the transport consultant. ""We need to make these jobs more attractive, as human resources are essential to the operation of the network"", she assures us.",Risk
"""There's a new culture to be put in place, with greater expectations of productivity, but we also need to reach compromises to preserve local ecosystems. If the aim is only to reduce costs, we'll end up with social breakdown,"" continues Anouk Exertier. The experience of the United Kingdom, where the opening up of the railroads to competition was chaotic because the new transport operators were given too much freedom, serves as a warning.",Risk
"However, she admits that ""SNCF still has a lot of work to do on recycling plastic waste, not only from passengers, but also from station retailers, which represents large volumes"". The SNCF is considering several ways of reducing it: ""experiments should start in certain stations by next year"", Sophie Chambon tells AFP.",Risk
This sum will enable the energy company to deploy 10 gigawatts (GW) of additional storage capacity over the next 18 years. The utility isn't starting from scratch. It already operates 5 GW of pumped-storage power stations (STEP) in France. These enable energy to be stored using high-altitude water retention basins.,Opportunity
"Rather than resorting to new resources, manufacturers prefer to focus on battery recycling. Renault boasts that it can recycle 70% of the total battery weight of its Zoé model, the best-selling electric car in Europe in 2016. And Tesla claims that 100% of the nickel used in its batteries can be reused.",Opportunity
"""I may be illiterate,"" smiles Chandramma, a sturdy 60-year-old who supervises seed banks in 70 villages on a voluntary basis, ""but I'm ready to demonstrate to any scientist that with natural manure and seeds that cost nothing, I produce healthier food than with expensive modern seeds. And that we enrich the soil instead of destroying it.""",Opportunity
"Rajendra Singh has rebuilt the ""johads"", rainwater retention basins.",Opportunity
"Bénédicte Manier also cites the example of Rajendra Singh, known in India as the ""Water Man"". In India, 90% of water is used by agriculture, half the country's states are under high water stress and the country is expected to run out of water by 2030. A situation that was already critical in the 80s. Arriving in 1985 in the small district of Alwar, in Rajasthan, one of the country's most arid states, the former doctor decided to rebuild the ""johads"", the basins that held back rainwater and helped it seep into the soil. And he succeeded. By teaming up with a local engineer and mobilizing the population, the reservoirs were refilled after two or three monsoons.",Opportunity
